epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5644,1.71864,4.39101,1.61192,0.0035,0.21053,0.00267,0.00127,1.29062,4.87942,1.6637,3.75e-05,3.75e-05,3.75e-05
2,65.2229,1.5666,4.23758,1.56169,0.00835,0.36842,0.20165,0.10439,1.25243,4.70049,1.50314,8.57675e-05,8.57675e-05,8.57675e-05
3,93.5755,1.54743,3.85974,1.42968,0.03143,0.57895,0.36743,0.19835,1.26884,4.54566,1.40914,0.000132055,0.000132055,0.000132055
4,120.103,1.57219,3.17335,1.29938,0.04142,0.73684,0.56531,0.2811,1.41776,4.3127,1.39827,0.000176362,0.000176362,0.000176362
5,144.188,1.51487,2.71228,1.25506,0.03896,0.78947,0.51738,0.21556,1.58387,4.26789,1.4236,0.00021869,0.00021869,0.00021869
6,169.412,1.44105,2.17614,1.1967,0.04605,0.73684,0.55948,0.22854,1.66488,4.25171,1.44185,0.000259038,0.000259038,0.000259038
7,193.889,1.53356,2.1731,1.26635,0.05882,0.78947,0.51069,0.26921,1.69649,4.30363,1.44593,0.000297405,0.000297405,0.000297405
8,216.73,1.46417,2.16779,1.29492,0.06404,0.68421,0.48046,0.2667,1.66587,4.42631,1.5323,0.000333792,0.000333792,0.000333792
9,239.426,1.35699,1.91752,1.27732,0.07752,0.52632,0.46471,0.27895,1.66402,4.2857,1.54881,0.0003682,0.0003682,0.0003682
10,261.62,1.40936,2.16162,1.28422,0.10989,0.52632,0.508,0.27092,1.63938,4.38974,1.556,0.000400628,0.000400628,0.000400628
11,287.153,1.48384,2.0277,1.25731,0.05607,0.63158,0.46219,0.25043,1.74683,4.3443,1.55241,0.000431075,0.000431075,0.000431075
12,310.796,1.43725,1.87545,1.26672,0.02985,0.73684,0.48423,0.24052,1.72797,4.3378,1.54126,0.000459543,0.000459543,0.000459543
13,333.158,1.40507,1.98316,1.28816,1,0.19222,0.5113,0.25622,1.74132,4.17635,1.56035,0.00048603,0.00048603,0.00048603
14,355.536,1.47249,1.8585,1.30832,1,0.23079,0.51425,0.26597,1.77727,3.83153,1.57019,0.000510537,0.000510537,0.000510537
15,377.849,1.38472,1.72451,1.27655,0.92577,0.31579,0.66007,0.29683,1.78875,3.6277,1.60743,0.000533065,0.000533065,0.000533065
16,406.271,1.45045,1.82391,1.32054,0.90123,0.36842,0.67518,0.31727,1.8485,3.63857,1.66545,0.000553613,0.000553613,0.000553613
17,448.676,1.25562,1.7842,1.1932,1,0.35932,0.64593,0.3471,1.72445,3.74282,1.58911,0.00057218,0.00057218,0.00057218
18,490.302,1.42659,1.74965,1.28209,0.82011,0.24227,0.52224,0.31247,1.61087,3.82887,1.57083,0.000588767,0.000588767,0.000588767
19,530.697,1.43959,1.89339,1.28798,0.51109,0.16607,0.49599,0.27325,1.64579,3.81984,1.55241,0.000603375,0.000603375,0.000603375
20,572.281,1.37221,1.73454,1.2724,0.74579,0.30959,0.55536,0.32337,1.58305,3.77575,1.50368,0.000616003,0.000616003,0.000616003
21,598.902,1.34346,1.71472,1.31084,0.78179,0.42105,0.58289,0.31368,1.70138,3.62394,1.6144,0.00062665,0.00062665,0.00062665
22,634.93,1.30232,1.64893,1.21046,0.81686,0.36842,0.55239,0.303,1.58867,3.63899,1.51502,0.000635318,0.000635318,0.000635318
23,676.076,1.3931,1.62189,1.25049,0.84711,0.36842,0.59771,0.3053,1.63783,3.46957,1.48282,0.000642005,0.000642005,0.000642005
24,717.939,1.303,1.56162,1.2291,1,0.46893,0.64974,0.3077,1.82999,3.39286,1.53508,0.000646713,0.000646713,0.000646713
25,758.059,1.24064,1.66141,1.20294,1,0.50966,0.69385,0.34818,1.89761,3.10641,1.58365,0.00064944,0.00064944,0.00064944
26,797.679,1.33676,1.59394,1.21316,0.74465,0.57895,0.781,0.3676,1.90895,3.00091,1.60554,0.00063125,0.00063125,0.00063125
27,835.16,1.19402,1.45889,1.16417,0.77929,0.74365,0.79199,0.40769,1.93168,3.04851,1.62727,0.0006065,0.0006065,0.0006065
28,875.38,1.31435,1.65767,1.23972,0.96854,0.52632,0.7347,0.32816,2.01999,2.9858,1.67622,0.00058175,0.00058175,0.00058175
29,915.877,1.31247,1.80814,1.30901,0.89277,0.57895,0.68881,0.28404,2.10525,2.98285,1.72652,0.000557,0.000557,0.000557
30,959.491,1.17358,1.39589,1.17725,0.76427,0.68421,0.69313,0.29115,2.17029,2.93872,1.80042,0.00053225,0.00053225,0.00053225
31,1001.95,1.13589,1.36104,1.15386,0.84637,0.63158,0.6956,0.28906,2.08858,2.78658,1.82284,0.0005075,0.0005075,0.0005075
32,1042.48,1.19461,1.40482,1.17255,0.89386,0.57895,0.64969,0.28116,2.07381,2.85329,1.81992,0.00048275,0.00048275,0.00048275
33,1082.92,1.217,1.46435,1.15903,0.88687,0.57895,0.64086,0.29122,2.09149,2.84354,1.83457,0.000458,0.000458,0.000458
34,1122.98,1.20766,1.31298,1.13672,0.82997,0.51463,0.61822,0.28451,2.01878,2.85525,1.79063,0.00043325,0.00043325,0.00043325
35,1163.56,1.17288,1.25522,1.12429,0.68336,0.5685,0.61752,0.28218,2.06583,2.76718,1.80157,0.0004085,0.0004085,0.0004085
36,1203.72,1.0434,1.38644,1.10789,0.78589,0.47368,0.61085,0.29425,1.99178,2.62235,1.74986,0.00038375,0.00038375,0.00038375
37,1230.31,1.10799,1.32158,1.12969,0.58954,0.60542,0.64196,0.32446,1.8294,2.54641,1.66888,0.000359,0.000359,0.000359
38,1253.12,1.12442,1.32498,1.11815,0.57473,0.71186,0.66645,0.36132,1.74399,2.50348,1.59914,0.00033425,0.00033425,0.00033425
39,1279.67,1.01401,1.34795,1.08159,0.79904,0.47368,0.64887,0.37152,1.69414,2.51564,1.61659,0.0003095,0.0003095,0.0003095
40,1304.1,1.07939,1.22154,1.16586,0.93562,0.47368,0.67246,0.38037,1.70697,2.51194,1.62165,0.00028475,0.00028475,0.00028475
41,1328.13,0.9383,1.33691,1.02059,0.73021,0.63158,0.71644,0.40271,1.73728,2.4718,1.61744,0.00026,0.00026,0.00026
42,1351.11,0.93816,1.26232,1.00538,0.61502,0.68421,0.70679,0.38857,1.71214,2.48042,1.57301,0.00023525,0.00023525,0.00023525
43,1374.48,0.85775,1.30003,0.97689,0.68666,0.73684,0.73602,0.42043,1.69221,2.50556,1.54773,0.0002105,0.0002105,0.0002105
44,1396.97,0.90894,1.35813,1.00357,0.68658,0.68421,0.71204,0.40482,1.69222,2.51915,1.55259,0.00018575,0.00018575,0.00018575
45,1419.17,0.90247,1.3257,0.97435,0.71445,0.65916,0.70123,0.40436,1.67627,2.50628,1.55516,0.000161,0.000161,0.000161
46,1441.4,0.82626,1.31277,0.96062,0.67254,0.63158,0.69923,0.40832,1.71025,2.49033,1.62321,0.00013625,0.00013625,0.00013625
47,1470.49,0.86494,1.30049,0.99914,0.71314,0.65494,0.72936,0.41397,1.69278,2.45786,1.6328,0.0001115,0.0001115,0.0001115
48,1498.65,0.83907,1.26416,0.97022,0.72904,0.68421,0.74108,0.42,1.67494,2.38859,1.6269,8.675e-05,8.675e-05,8.675e-05
49,1522.26,0.8344,1.22568,0.97806,0.82235,0.68421,0.77375,0.43105,1.64485,2.29698,1.58511,6.2e-05,6.2e-05,6.2e-05
50,1545.01,0.83516,1.17868,1.00159,0.88667,0.68421,0.80051,0.44849,1.63842,2.18189,1.56027,3.725e-05,3.725e-05,3.725e-05
